Participant ID;HG1 groove;HG1 like;HG1 familiar;HG2 groove;HG2 like;HG2 familiar;HG3 groove;HG3 like;HG3 familiar;HG4 groove;HG4 like;HG4 familiar;HG5 groove;HG5 like;HG5 familiar;HG6 groove;HG like;HG familiar;HG7 groove;HG7 like;HG7 familiar;HG8 groove;HG8 like;HG8 familiar;HG9 groove;HG9 like;HG9 familiar;HG10 groove;HG10 like;HG10 familiar;LG1 groove;LG1 like;LG1 familiar;LG2 groove;LG2 like;LG2 familiar;LG3 groove;LG3 like;LG3 familiar;LG4 groove;LG4 like;LG4 familiar;LG5 groove;LG5 like;LG5 familiar;LG6 groove;LG6 like;LG6 familiar;LG7 groove;LG7 like;LG7 familiar;LG8 groove;LG8 like;LG8 familiar;LG9 groove;LG9 like;LG9 familiar;LG10 groove;LG10 like;LG10 familiar
72110;7;6;5;7;4;1;3;2;1;4;4;7;7;5;5;6;3;1;6;5;1;4;6;7;7;5;7;7;7;7;4;5;7;3;4;1;5;5;1;2;1;1;1;6;1;2;6;1;4;6;1;1;3;1;2;3;1;2;6;1
72698;7;7;7;1;7;1;7;7;1;1;1;7;7;7;1;1;1;1;1;1;1;1;1;1;1;1;7;1;1;7;1;7;7;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1;1;7;1;1;1;1;1;1;1;1;1;1
73863;7;7;7;4;5;1;3;2;1;5;3;1;4;2;1;7;6;1;4;5;1;7;7;7;4;3;1;3;2;1;2;3;1;1;2;1;1;1;1;1;2;2;4;2;1;1;1;1;1;6;1;2;2;1;2;5;1;1;1;1
74462;7;6;6;7;6;3;6;5;2;7;7;7;5;4;2;7;7;3;6;6;4;7;7;7;7;6;6;5;5;5;4;4;7;3;2;2;5;4;1;2;3;1;4;4;2;1;2;1;5;6;3;4;5;2;3;3;1;2;2;1
74964;7;7;7;6;4;1;6;6;4;4;4;5;5;4;1;7;6;1;3;2;1;6;7;7;7;5;2;2;2;1;2;3;2;4;4;1;3;3;1;1;1;1;2;2;1;1;2;1;4;5;1;1;1;1;1;1;1;1;4;2
76980;7;7;7;4;4;1;4;3;1;7;6;6;5;4;3;5;4;1;6;4;1;7;7;7;7;6;6;6;5;7;2;2;4;4;4;1;5;4;1;4;4;1;5;5;5;5;6;4;3;3;1;3;1;1;2;1;1;2;3;1
78161;7;6;6;6;5;1;7;5;2;6;4;1;6;5;4;6;3;1;6;5;1;5;5;1;4;5;1;4;4;2;1;3;6;4;5;1;4;4;2;2;4;1;1;5;1;1;7;1;3;5;3;1;3;1;1;4;1;2;5;1
78214;7;5;4;7;6;1;2;2;1;6;5;7;3;2;1;7;7;1;4;4;3;7;7;7;7;7;7;6;5;7;7;7;7;4;4;1;3;3;2;1;1;1;2;2;1;2;2;1;3;3;1;1;1;1;1;1;1;1;1;1
78336;3;2;5;5;6;4;4;2;7;2;3;2;5;4;5;4;3;4;5;5;6;6;4;6;7;5;4;4;3;1;6;5;5;5;6;6;6;3;5;5;5;6;5;7;3;3;4;7;6;4;6;6;3;5;2;1;3;3;1;3
79844;7;6;4;7;6;5;7;6;2;7;6;1;7;5;2;4;7;5;6;6;1;4;6;7;3;6;7;3;6;7;5;4;1;2;6;2;1;7;5;1;1;1;1;7;5;1;3;3;1;3;1;3;4;1;1;5;1;1;4;4
79942;7;6;7;5;3;1;3;2;2;5;5;6;4;3;3;4;4;3;2;2;1;7;7;7;5;4;5;2;4;7;1;1;1;2;4;2;1;3;1;1;1;1;2;6;5;3;4;3;1;2;1;1;2;1;1;1;1;1;2;5
80101;5;7;7;4;3;1;4;2;1;6;5;1;5;2;1;6;6;2;4;5;1;3;7;7;5;7;2;4;5;1;1;1;1;1;3;1;2;2;1;1;1;1;3;6;2;1;4;1;1;2;1;1;1;1;1;5;1;1;4;1
80607;6;6;6;6;5;2;7;6;6;7;7;6;5;4;2;7;6;1;6;5;1;6;7;7;7;6;5;6;6;6;1;2;1;5;5;1;4;2;1;3;3;1;5;5;3;4;4;1;1;3;1;2;3;1;2;4;1;3;3;1
80835;7;7;7;6;4;1;6;4;2;6;5;7;5;5;2;6;2;1;5;3;1;6;6;7;7;5;7;7;4;7;4;5;7;2;2;1;1;3;1;1;3;2;4;2;1;1;2;1;1;3;1;2;5;1;1;2;1;1;2;1
82810;5;6;3;3;2;1;5;5;3;5;6;7;3;2;5;5;3;1;5;5;2;1;3;1;6;6;7;6;6;7;1;3;5;1;1;1;2;5;1;1;2;1;1;5;2;1;1;1;1;5;1;1;1;1;1;2;1;1;2;1
84105;7;7;7;5;2;1;4;4;3;5;4;7;5;4;3;4;1;1;6;6;1;2;3;1;6;6;7;5;6;7;2;6;7;2;5;1;1;1;1;1;1;1;1;3;1;1;2;1;1;3;1;1;2;1;1;4;1;1;2;1
84111;7;7;7;5;4;1;7;5;4;7;6;7;7;5;2;7;5;1;7;7;5;2;7;7;7;7;7;6;5;7;2;4;1;3;4;1;2;3;1;1;4;2;5;6;1;1;6;3;3;6;1;1;6;2;1;5;1;1;6;1
85382;7;5;7;5;4;1;7;6;1;7;7;7;6;5;1;5;2;1;5;5;1;3;7;7;7;7;5;6;7;5;3;3;4;5;5;1;3;2;1;2;1;1;2;3;1;2;6;1;2;5;1;2;3;1;3;6;1;2;4;1
85472;7;7;7;5;3;1;6;3;1;6;5;5;7;5;2;5;5;1;6;6;2;3;6;6;7;7;7;7;7;7;2;4;6;4;6;1;4;6;1;3;4;1;4;5;1;2;4;1;6;7;1;2;5;1;3;7;1;2;5;1
